
Test set: Average loss: 7.548961, Accuracy: 9.910000 

Train Epoch: 1	[8800/50000 (18%)]	Loss: 0.333397	Accuracy: 15.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[9000/50000 (18%)]	Loss: 0.226115	Accuracy: 35.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[9200/50000 (18%)]	Loss: 0.280205	Accuracy: 20.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[9400/50000 (19%)]	Loss: 0.255723	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[9600/50000 (19%)]	Loss: 0.317371	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[9800/50000 (20%)]	Loss: 0.225649	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[10000/50000 (20%)]	Loss: 0.296590	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[10200/50000 (20%)]	Loss: 0.299992	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[10400/50000 (21%)]	Loss: 0.328279	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[10600/50000 (21%)]	Loss: 0.212543	Accuracy: 25.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[10800/50000 (22%)]	Loss: 0.220024	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[11000/50000 (22%)]	Loss: 0.260718	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[11200/50000 (22%)]	Loss: 0.257660	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[11400/50000 (23%)]	Loss: 0.241444	Accuracy: 15.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[11600/50000 (23%)]	Loss: 0.223015	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[11800/50000 (24%)]	Loss: 0.148288	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[12000/50000 (24%)]	Loss: 0.227491	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[12200/50000 (24%)]	Loss: 0.223100	Accuracy: 30.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[12400/50000 (25%)]	Loss: 0.155877	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[12600/50000 (25%)]	Loss: 0.300234	Accuracy: 25.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[12800/50000 (26%)]	Loss: 0.343020	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[13000/50000 (26%)]	Loss: 0.253226	Accuracy: 20.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[13200/50000 (26%)]	Loss: 0.236463	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[13400/50000 (27%)]	Loss: 0.317894	Accuracy: 15.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[13600/50000 (27%)]	Loss: 0.197789	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[13800/50000 (28%)]	Loss: 0.199180	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[14000/50000 (28%)]	Loss: 0.281190	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[14200/50000 (28%)]	Loss: 0.205635	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[14400/50000 (29%)]	Loss: 0.217706	Accuracy: 45.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[14600/50000 (29%)]	Loss: 0.199033	Accuracy: 60.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[14800/50000 (30%)]	Loss: 0.216283	Accuracy: 40.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[15000/50000 (30%)]	Loss: 0.290041	Accuracy: 35.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[15200/50000 (30%)]	Loss: 0.312520	Accuracy: 15.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[15400/50000 (31%)]	Loss: 0.310872	Accuracy: 20.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[15600/50000 (31%)]	Loss: 0.195004	Accuracy: 35.000000	Time 0.301 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[15800/50000 (32%)]	Loss: 0.307098	Accuracy: 40.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[16000/50000 (32%)]	Loss: 0.277752	Accuracy: 40.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[16200/50000 (32%)]	Loss: 0.298837	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[16400/50000 (33%)]	Loss: 0.209866	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[16600/50000 (33%)]	Loss: 0.230119	Accuracy: 35.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[16800/50000 (34%)]	Loss: 0.207811	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[17000/50000 (34%)]	Loss: 0.298280	Accuracy: 25.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[17200/50000 (34%)]	Loss: 0.242338	Accuracy: 45.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[17400/50000 (35%)]	Loss: 0.174648	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[17600/50000 (35%)]	Loss: 0.198322	Accuracy: 55.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[17800/50000 (36%)]	Loss: 0.193116	Accuracy: 45.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[18000/50000 (36%)]	Loss: 0.238559	Accuracy: 35.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[18200/50000 (36%)]	Loss: 0.218170	Accuracy: 45.000000	Time 0.300 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[18400/50000 (37%)]	Loss: 0.336408	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[18600/50000 (37%)]	Loss: 0.270196	Accuracy: 25.000000	Time 0.298 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[18800/50000 (38%)]	Loss: 0.202556	Accuracy: 50.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
Train Epoch: 1	[19000/50000 (38%)]	Loss: 0.364015	Accuracy: 30.000000	Time 0.299 (0.299)	Data 0.000 (0.000)
